orf_plate,gene,decision,distance2,distance,threshold2,feature_count,usable_feature_count,control_rows,candidate_count,top_candidate,top_candidate_target,top_restoration_score,top_distance,top_target_match,top_target_list_match,best_target_rank,best_target_restoration_score,best_target_distance,has_target_candidate,positive_target_score,positive_top_score,shift_margin
BR00117006,COMT,TRANSITION,37.10773532415706,6.091611882265404,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.5004939964057833,3.0427967067579362,False,False,28,0.33515105008039026,4.050001763242636,True,True,True,15.832240819678955
BR00117006,ALDH2,TRANSITION,23.898979721560245,4.888658274164829,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.37758040425168793,3.0427967067579362,False,False,11,0.23339771427183065,3.747656607119452,True,True,True,2.6234852170821377
BR00118050,ITGB2,TRANSITION,23.556544882772346,4.853508512691859,20.340209737698444,96,96,124,260,ANR-94|ADORA2A|BRD-K31170746-001-01-6,ADORA2A,0.3413319924495448,3.196850781684579,False,False,27,0.20771679844980828,3.845353263187408,True,True,True,3.216335145073902
BR00117006,GJB4,TRANSITION,27.374826082655286,5.232095763903341,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.4184363505442963,3.0427967067579362,False,False,47,0.1990640111993408,4.1905737941624635,True,True,True,6.099331578177178
BR00118050,CCR1,TRANSITION,25.912347603745392,5.090417232776248,20.340209737698444,96,96,124,260,ANR-94|ADORA2A|BRD-K31170746-001-01-6,ADORA2A,0.371986492364511,3.196850781684579,False,False,50,0.19869268485945923,4.078988565741877,True,True,True,5.572137866046948
BR00118050,ADA,TRANSITION,39.00110555472053,6.245086512989274,20.340209737698444,96,96,124,260,ANR-94|ADORA2A|BRD-K31170746-001-01-6,ADORA2A,0.4881014418239241,3.196850781684579,False,False,184,0.1208702590621803,5.490241288299411,True,True,True,18.660895817022087
BR00117006,AKR1C1,TRANSITION,37.126229454616386,6.09312969290958,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.5006184243381095,3.0427967067579362,False,False,182,0.00818014955887747,6.043286980740934,True,True,True,15.850734950138278
BR00117006,BTK,TRANSITION,28.324849334375376,5.32210948162243,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.4282724327140718,3.0427967067579362,False,False,211,-0.3214151019544558,7.032715843272201,True,False,True,7.049354829897268
BR00118039,ATM,TRANSITION,108.29899166386998,10.406680146130656,21.371183642407196,96,96,124,260,geldanamycin|HSP90AB1|BRD-K43570081-001-02-4,HSP90AB1,0.1886147601639494,8.4438266662661,False,False,202,-0.5697881808932987,16.33628349573442,True,False,True,86.9278080214628
BR00118049,BAX,CONTINUOUS,34.253537106469125,5.852652142957851,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.7215983214714023,1.6293881804437385,False,False,19,0.6697088415130701,1.9330792565188917,True,True,True,-2.189238332704093
BR00118049,GLRA3,CONTINUOUS,29.401399037296468,5.422305693825872,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.6995027074370324,1.6293881804437385,False,False,105,0.5677797935101124,2.343630086637144,True,True,True,-7.04137640187675
BR00118049,AVPR1A,CONTINUOUS,11.569761055660488,3.4014351464728074,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.520970381536485,1.6293881804437385,False,False,11,0.4568506422525772,1.8474873152267595,True,True,True,-24.873014383512732
BR00118049,GHSR,CONTINUOUS,12.054549482952911,3.471966227219515,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.5307016042756423,1.6293881804437385,False,False,27,0.42344331707439475,2.0017853311959883,True,True,True,-24.388225956220307
BR00118049,CACNG1,CONTINUOUS,11.522417973918008,3.3944687322050866,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.5199872766585218,1.6293881804437385,False,False,23,0.41963302298952687,1.9700375566670196,True,True,True,-24.920357465255208
BR00118049,GRIN2A,CONTINUOUS,13.425335670065909,3.664059998153129,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.5553052675817024,1.6293881804437385,False,False,69,0.3990131745812924,2.2020517864343256,True,True,True,-23.01743976910731
BR00118049,ALK,CONTINUOUS,15.577771234806837,3.9468685352829826,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.587169381022593,1.6293881804437385,False,False,120,0.3975440400062431,2.377814472393665,True,True,True,-20.86500420436638
BR00118049,BTK,CONTINUOUS,30.47324982436897,5.520258130229869,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.7048347845328758,1.6293881804437385,False,False,219,0.39408374053388895,3.344814157556876,True,True,True,-5.9695256148042475
BR00118049,DHH,CONTINUOUS,13.739901733829509,3.706737343517815,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.5604252393839817,1.6293881804437385,False,False,91,0.3803410366171358,2.2969130198174206,True,True,True,-22.70287370534371
BR00118049,FFAR4,CONTINUOUS,8.07446647173885,2.8415605697818322,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.4265868559091579,1.6293881804437385,False,False,14,0.3378471333365485,1.881547477079533,True,True,True,-28.368308967434366
BR00118049,ADORA2A,CONTINUOUS,9.897211722542945,3.1459834269339284,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.4820735015660206,1.6293881804437385,False,False,60,0.3218291530844808,2.1335142450266478,True,True,True,-26.545563716630273
BR00118049,KCNN4,CONTINUOUS,10.003616767019142,3.162849469547854,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.4848353688245072,1.6293881804437385,False,False,83,0.28901682441278076,2.248732759764196,True,True,True,-26.439158672154075
BR00118049,GPR119,CONTINUOUS,13.011739023790296,3.607178817828456,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.5482929284264902,1.6293881804437385,False,False,170,0.25660669711661965,2.6815525754772067,True,True,True,-23.43103641538292
BR00118049,FFAR2,CONTINUOUS,10.698407371446473,3.2708419973221687,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.5018444236140979,1.6293881804437385,False,False,136,0.2453547492632575,2.4683253791902104,True,True,True,-25.744368067726747
BR00118049,CYP2A6,CONTINUOUS,6.198069761352997,2.4895922881775236,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.34552007243087257,1.6293881804437385,False,False,16,0.24286439505120705,1.8849589631858963,True,True,True,-30.24470567782022
