orf_plate,gene,decision,distance2,distance,threshold2,feature_count,usable_feature_count,control_rows,candidate_count,top_candidate,top_candidate_target,top_restoration_score,top_distance,top_target_match,top_target_list_match,best_target_rank,best_target_restoration_score,best_target_distance,has_target_candidate,positive_target_score,positive_top_score,shift_margin,replicate_consistency,data_source,source_hash,selection_rule_pass,selection_priority
BR00118039,FGF1,CONTINUOUS,4.415189618600837,2.1012352601745565,21.371183642407196,96,96,124,260,geldanamycin|HSP90AB1|BRD-K43570081-001-02-4,HSP90AB1,-3.018506078924558,8.4438266662661,False,False,136,-6.450673661406914,15.655618209409525,True,False,False,-16.95599402380636,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,False,0.007352941176470588
BR00117006,HIF1A,CONTINUOUS,3.895796360993231,1.973777181191745,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,-0.541611046956773,3.042796706757936,False,False,137,-1.5550914610238409,5.04318122162929,True,False,False,-17.379698143484877,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,False,0.0072992700729927005
BR00118039,AGER,CONTINUOUS,1.083976198974016,1.0411417765962596,21.371183642407196,96,96,124,260,geldanamycin|HSP90AB1|BRD-K43570081-001-02-4,HSP90AB1,-7.110160264496223,8.4438266662661,False,False,138,-14.045144724196312,15.664128707312637,True,False,False,-20.28720744343318,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,False,0.007246376811594203
BR00118039,ADH1C,CONTINUOUS,3.938110127150654,1.984467214934692,21.371183642407196,96,96,124,260,geldanamycin|HSP90AB1|BRD-K43570081-001-02-4,HSP90AB1,-3.254959015052171,8.4438266662661,False,False,139,-6.894047616787852,15.665478688656728,True,False,False,-17.43307351525654,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,False,0.007194244604316547
BR00118050,GUCY1B1,CONTINUOUS,5.3122383752994145,2.304829359258384,20.340209737698444,96,96,124,260,ANR-94|ADORA2A|BRD-K31170746-001-01-6,ADORA2A,-0.3870227610740908,3.196850781684579,False,False,140,-1.182815316637909,5.031016827628122,True,False,False,-15.027971362399027,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,False,0.007142857142857143
BR00118049,ABL1,CONTINUOUS,2.9357602528374844,1.7134060385202,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.0490355795348868,1.6293881804437385,False,False,141,-0.4545655519125158,2.4922614000718264,True,False,True,-33.507015186335735,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,False,0.0070921985815602835
BR00118039,GPR55,CONTINUOUS,8.089034376709993,2.84412277806532,21.371183642407196,96,96,124,260,geldanamycin|HSP90AB1|BRD-K43570081-001-02-4,HSP90AB1,-1.9688685493412288,8.4438266662661,False,False,142,-4.518375232472344,15.694936696591618,True,False,False,-13.282149265697203,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,False,0.007042253521126761
BR00117006,KDR,CONTINUOUS,12.351034137258392,3.5144038096465797,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.1341926336395975,3.042796706757936,False,False,143,-0.4451251908524714,5.078753476149611,True,False,True,-8.924460367219716,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,False,0.006993006993006993
BR00118039,CATSPER4,CONTINUOUS,5.591611982354864,2.3646589568804344,21.371183642407196,96,96,124,260,geldanamycin|HSP90AB1|BRD-K43570081-001-02-4,HSP90AB1,-2.5708433309985677,8.4438266662661,False,False,143,-5.638101514153632,15.6968462021316,True,False,False,-15.779571660052332,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,False,0.006993006993006993
BR00118049,EDNRB,CONTINUOUS,1.4015877272536823,1.1838867037236638,36.44277543917322,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,-0.3763041474471063,1.6293881804437385,False,False,146,-1.125629596754516,2.5165046166412903,True,False,False,-35.041187711919534,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,False,0.00684931506849315
